12/15,473
1/16,1933
2/16,1987
3/16,1560
4/16,2034
5/16,3226
6/16,9210
7/16,2382
8/16,2783
9/16,2846
10/16,2170
11/16,4094
12/16,2736
1/17,3269
2/17,3338
3/17,3239
4/17,3671
5/17,3088
6/17,1126
7/17,764
8/17,2793
9/17,2879
10/17,3550
11/17,2771
12/17,2222
1/18,2781
2/18,3206
3/18,3584
4/18,2862
5/18,2341
6/18,1432
7/18,5575
8/18,3745
9/18,2733
10/18,3107
11/18,3240
12/18,3154
1/19,3650
2/19,4235
3/19,4025
4/19,3493
5/19,2884
6/19,6233
7/19,7955
8/19,3729
9/19,4058
10/19,4585
11/19,3987
12/19,2476
1/20,3021
2/20,3239
3/20,2217
4/20,5596
5/20,4045
6/20,730
7/20,1571
8/20,3217
9/20,3665
10/20,3793
11/20,3927
12/20,2792
1/21,6397
2/21,4262
3/21,4751
4/21,3428
5/21,3478
6/21,10905
7/21,10364
8/21,10244
9/21,10358
10/21,10662
11/21,12819
12/21,8091
1/22,6866
2/22,12962
3/22,14214
4/22,11952
5/22,7541
6/22,15299
7/22,13894
8/22,13890
9/22,13585
10/22,11723
11/22,15206
12/22,11448
1/23,10658
2/23,12436
3/23,15874
4/23,16528
5/23,13710
6/23,16298
7/23,15163
8/23,16914
9/23,15045
10/23,12843
11/23,13378
12/23,8918
1/24, 12771
